[16383 | 0 ] = 1279
[16384 | 1 ] = 2
[16385 | 2 ] = 11519
[16386 | 3 ] = 3
[16387 | 4 ] = 11519
[16388 | 5 ] = 3
[16389 | 6 ] = 11519
[16390 | 7 ] = 2
[16391 | 8 ] = 0
[16392 | 9 ] = 0
[16393 | 10 ] = 0
[16394 | 11 ] = 0
[16395 | 12 ] = 0
[16396 | 13 ] = 0
[16397 | 14 ] = 0
[16398 | 15 ] = 0
[16399 | 16 ] = 0
[16400 | 17 ] = 0
[16401 | 18 ] = 0
[16402 | 19 ] = 0
[16403 | 20 ] = 0
[16404 | 21 ] = 0
[16405 | 22 ] = 0
[16406 | 23 ] = 0
[16407 | 24 ] = 0
[16408 | 25 ] = 0
[16409 | 26 ] = 0
[16410 | 27 ] = 0
[16411 | 28 ] = 0
[16412 | 29 ] = 0
[16413 | 30 ] = 0
[16414 | 31 ] = 0
[16415 | 32 ] = 0
[16416 | 33 ] = 0
[16417 | 34 ] = 0
[16418 | 35 ] = 0
[16419 | 36 ] = 0
[16420 | 37 ] = 0
[16421 | 38 ] = 0
[16422 | 39 ] = 0
[16423 | 40 ] = 0
[16424 | 41 ] = 0
[16425 | 42 ] = 0
[16426 | 43 ] = 0
[16427 | 44 ] = 0
[16428 | 45 ] = 0
[16429 | 46 ] = 0
[16430 | 47 ] = 0
[16431 | 48 ] = 0
[16432 | 49 ] = 0
[16433 | 50 ] = 0
[16434 | 51 ] = 0
[16435 | 52 ] = 0
[16436 | 53 ] = 0
[16437 | 54 ] = 0
[16438 | 55 ] = 0
[16439 | 56 ] = 0
[16440 | 57 ] = 0
[16441 | 58 ] = 0
[16442 | 59 ] = 0
[16443 | 60 ] = 0
[16444 | 61 ] = 0
[16445 | 62 ] = 0
[16446 | 63 ] = 0
[16447 | 64 ] = 0
[16448 | 65 ] = 0
[16449 | 66 ] = 0
[16450 | 67 ] = 0
[16451 | 68 ] = 0
[16452 | 69 ] = 0
[16453 | 70 ] = 0
[16454 | 71 ] = 0
[16455 | 72 ] = 0
[16456 | 73 ] = 0
[16457 | 74 ] = 0
[16458 | 75 ] = 0
[16459 | 76 ] = 0
[16460 | 77 ] = 0
[16461 | 78 ] = 0
[16462 | 79 ] = 0
[16463 | 80 ] = 0
[16464 | 81 ] = 0
[16465 | 82 ] = 0
[16466 | 83 ] = 0
[16467 | 84 ] = 0
[16468 | 85 ] = 0
[16469 | 86 ] = 0
[16470 | 87 ] = 0
[16471 | 88 ] = 0
[16472 | 89 ] = 0
[16473 | 90 ] = 0
[16474 | 91 ] = 0
[16475 | 92 ] = 0
[16476 | 93 ] = 0
[16477 | 94 ] = 0
[16478 | 95 ] = 0
[16479 | 96 ] = 0
[16480 | 97 ] = 0
[16481 | 98 ] = 0
[16482 | 99 ] = 0
[16483 | 100 ] = 0
[16484 | 101 ] = 0
[16485 | 102 ] = 0
[16486 | 103 ] = 0
[16487 | 104 ] = 0
[16488 | 105 ] = 0
[16489 | 106 ] = 0
[16490 | 107 ] = 0
[16491 | 108 ] = 0
[16492 | 109 ] = 0
[16493 | 110 ] = 0
[16494 | 111 ] = 0
[16495 | 112 ] = 0
[16496 | 113 ] = 0
[16497 | 114 ] = 0
[16498 | 115 ] = 0
[16499 | 116 ] = 0
[16500 | 117 ] = 0
[16501 | 118 ] = 0
[16502 | 119 ] = 0
[16503 | 120 ] = 0
[16504 | 121 ] = 0
[16505 | 122 ] = 0
[16506 | 123 ] = 0
[16507 | 124 ] = 0
[16508 | 125 ] = 0
[16509 | 126 ] = 0
[16510 | 127 ] = 0
[16511 | 128 ] = 0
[16512 | 129 ] = 0
[16513 | 130 ] = 0
[16514 | 131 ] = 0
[16515 | 132 ] = 0
[16516 | 133 ] = 0
[16517 | 134 ] = 0
[16518 | 135 ] = 0
[16519 | 136 ] = 0
[16520 | 137 ] = 0
[16521 | 138 ] = 0
[16522 | 139 ] = 0
[16523 | 140 ] = 0
[16524 | 141 ] = 0
[16525 | 142 ] = 0
[16526 | 143 ] = 0
[16527 | 144 ] = 0
[16528 | 145 ] = 0
[16529 | 146 ] = 0
[16530 | 147 ] = 0
[16531 | 148 ] = 0
[16532 | 149 ] = 0
[16533 | 150 ] = 0
[16534 | 151 ] = 0
[16535 | 152 ] = 0
[16536 | 153 ] = 0
[16537 | 154 ] = 0
[16538 | 155 ] = 0
[16539 | 156 ] = 0
[16540 | 157 ] = 0
[16541 | 158 ] = 0
[16542 | 159 ] = 0
